Condition;area (px^2);short axis length (px);orientation
A02;1810;45.60910117;27.46333917
A02;2245;44.64622823;29.21386615
A02;1539;35.43789036;-33.47935793
A02;1035;25.77584887;-48.18908704
A02;1431;40.16240077;14.86163626
A02;1830;40.82582303;-12.28127784
A02;1515;41.68508312;16.08427276
A02;1655;33.0433151;-62.94056927
A02;873;23.11473421;42.39583788
A02;2491;47.69204651;59.98861368
A02;1764;40.78854768;82.40737311
A02;1571;38.37152638;-33.31652085
A02;1344;35.78043664;10.10817672
A02;1585;37.38429298;77.23190145
A02;2039;46.34945766;46.24133589
A02;1914;42.10533433;51.59340904
A02;1509;39.29890707;75.27276784
A02;1629;38.3617203;-25.49256389
A02;1587;36.06557978;-45.88220765
A02;1475;47.03012241;-32.05715833
A02;1311;37.58405077;-21.73113789
A02;1411;36.27030296;40.2299485
A02;1783;44.79400835;18.46999029
A02;1357;38.17566313;-27.88406852
A02;2401;45.62307703;44.93497096
A02;1413;35.05221724;-23.51736853
A02;1314;29.9692294;87.139985
A02;1433;37.90707453;-65.767856
A02;1632;35.99452191;2.139346226
A02;1300;31.85554529;23.53850963
A02;1538;38.1061809;46.04775075
A02;1589;36.77347519;32.96234551
A02;1749;39.61145238;-82.80251279
A02;1439;34.82516282;-0.4726149
A02;2728;50.17605584;57.8853583
A02;1581;40.21968547;27.16117321
A02;1972;47.09398821;-49.04768854
A02;1485;38.7814111;88.76137857
A02;1403;32.92482032;82.12825351
A02;1082;31.5395588;42.20618068
A02;1459;33.92185236;-15.18982894
A02;1241;32.34230406;-67.21921288
A02;1505;38.78335237;32.93646301
A02;1600;36.74624295;73.74401973
A02;1716;41.20704549;-82.74834353
A02;1402;35.1490749;-21.46126652
A02;1017;26.95909865;61.0461471
A02;1718;40.70366236;20.65073513
A02;1350;34.60149483;-30.53563402
A02;1910;40.05460459;-81.08488858
A02;1590;42.8923397;73.04920508
A02;1303;35.87206832;3.083717807
A02;1458;40.35411883;-9.807744058
A02;1901;41.85589896;-2.904541951
A02;1508;36.16626831;59.36024191
A02;1345;38.72503089;40.47006639
A02;1527;34.00549571;-22.12438057
A02;1983;34.7626286;-0.025657298
A02;2732;50.43523607;-46.49179091
A02;732;20.11728111;-86.55115612
A02;1374;33.41271861;1.189503996
A02;1727;39.50967075;23.80786387
A02;1128;27.84098875;-60.40516651
A02;1774;42.95771299;-5.322425614
A02;1624;44.49559172;-60.33196382
A02;1493;34.89885593;30.59257389
A02;3509;53.60219824;-68.8711376
A02;961;26.01359498;44.86773477
A02;1786;39.52995048;81.71979678
A02;2413;48.33354726;24.45765481
A02;1611;41.94854728;71.68731194
A02;1019;24.48008951;75.19563725
A02;1763;40.31106298;36.53101159
A02;1636;38.91499999;-71.20449767
A02;1559;41.19487957;17.60009841
A02;1527;36.03020596;74.28379719
A02;1391;38.6181927;51.56657654
A02;1762;37.9792671;-36.7359912
A02;2023;45.52588631;-75.39970492
A02;1328;35.37178694;-28.20475929
A02;1717;39.27773105;76.518062
A02;1175;32.93603099;83.94311459
A02;1650;37.38407895;81.69694248
A02;1341;27.61094166;-57.1832885
A02;1451;32.10979956;-50.53362523
A02;1856;44.45543698;34.44659099
A02;1489;32.90736278;73.34770097
A02;1145;27.32560983;-86.38385297
A02;1752;40.08455583;76.58752204
A02;1569;42.0727867;82.15152148
A02;2117;39.15614564;41.99176079
A02;1587;39.43769579;45.35002395
A02;1733;41.59767923;-66.97585463
A02;1728;39.45589865;69.46590333
A02;2523;51.14259953;-75.6540557
A02;1447;39.092668;-82.31573048
A02;1422;39.96917911;-28.2593915
A02;1462;36.70116946;33.53460735
A02;2176;42.3994142;79.4633052
A02;1823;40.20634683;18.28358135
A02;1442;39.57806542;-36.29149634
A02;2735;49.74870209;-62.67277145
A02;1469;36.37636371;64.3627083
A02;1545;41.55931011;-29.8644443
A02;2038;44.5470514;-7.551481747
A02;1600;40.98759327;-80.00381019
A02;2061;40.38004012;-16.84968225
A02;1544;41.34500714;-44.15982119
A02;1602;43.5316599;76.08603902
A02;1660;41.37211977;45.62539234
A02;1893;39.5787742;80.69915818
A02;1386;37.96208862;-78.74545096
A02;1728;40.2233461;-1.37713512
A02;1460;40.66261182;57.05130502
A02;1784;40.38539171;29.63138312
A02;1803;38.82606952;82.68348122
A02;1693;38.8315252;-20.69113734
A02;1554;40.55102448;-3.274493694
A02;1797;41.89414326;-40.84278562
A02;1557;35.66389561;20.69036495
A02;1858;42.27867042;-27.96087556
A02;1286;33.52729973;84.95052911
A02;1937;40.27325771;78.10514087
A02;3168;58.6073362;22.45046449
A02;1799;41.21492897;68.538695
A02;1708;41.08895679;-43.30217733
A02;1449;34.89766317;-19.81535665
A02;1432;40.19595685;-62.50622062
A02;2085;41.57649891;-23.92276846
A02;1657;38.87124615;-52.50665994
A02;888;25.17940435;-61.44536478
A02;1745;39.87426954;32.81295806
A02;1333;32.71913398;-22.87546153
A02;1368;34.41421759;-32.1854419
A02;1360;34.11059671;76.37873025
A02;1383;40.52932836;-3.372739581
A02;1399;31.91872932;-34.7090732
A02;2597;50.50941919;88.59986298
A02;1035;32.16718292;84.12494995
A02;2380;49.62084758;-48.1478554
A02;1348;32.2423553;4.983723496
A02;1497;40.96306183;-36.22806058
